theme_id,name,parent_id,next-up parent,theme-group,theme-group-name
1,Technic, ,,1,Technic
2,Arctic Technic,1, ,1,Technic
3,Competition,1, ,1,Technic
4,Expert Builder,1, ,1,Technic
5,Model,1, ,1,Technic
6,Airport,5,1,1,Technic
7,Construction,5,1,1,Technic
8,Farm,5,1,1,Technic
9,Fire,5,1,1,Technic
10,Harbor,5,1,1,Technic
11,Off-Road,5,1,1,Technic
12,Race,5,1,1,Technic
13,Riding Cycle,5,1,1,Technic
14,Robot,5,1,1,Technic
15,Traffic,5,1,1,Technic
16,RoboRiders,1, ,1,Technic
17,Speed Slammers,1, ,1,Technic
18,Star Wars,1, ,1,Technic
19,Supplemental,1, ,1,Technic
20,Throwbot Slizer,1, ,1,Technic
21,Universal Building Set,1, ,1,Technic
22,Creator, ,,22,Creator
23,Basic Model,22, ,22,Creator
24,Airport,23,22,22,Creator
25,Castle,23,22,22,Creator
26,Construction,23,22,22,Creator
27,Race,23,22,22,Creator
28,Harbor,23,22,22,Creator
29,Train,23,22,22,Creator
30,Traffic,23,22,22,Creator
31,Creature,23,22,22,Creator
32,Robot,23,22,22,Creator
33,Food & Drink,23,22,22,Creator
34,Building,23,22,22,Creator
35,Cargo,23,22,22,Creator
36,Fire,23,22,22,Creator
37,Basic Set,22, ,22,Creator
38,Model,22, ,22,Creator
39,Traffic,38,22,22,Creator
40,Creature,38,22,22,Creator
41,Riding Cycle,38,22,22,Creator
42,Airport,38,22,22,Creator
43,Building,38,22,22,Creator
44,Recreation,38,22,22,Creator
45,Cargo,38,22,22,Creator
46,Harbor,38,22,22,Creator
47,Fire,38,22,22,Creator
48,Supplemental,22, ,22,Creator
49,Mecha,22, ,22,Creator
50,Town, ,,50,Town
51,Arctic,50, ,50,Town
52,City,50, ,50,Town
53,Airport,52,50,50,Town
54,Cargo,52,50,50,Town
55,Coast Guard,52,50,50,Town
56,Construction,52,50,50,Town
57,Farm,52,50,50,Town
58,Fire,52,50,50,Town
59,Harbor,52,50,50,Town
60,Hospital,52,50,50,Town
61,Police,52,50,50,Town
62,Supplemental,52,50,50,Town
63,Traffic,52,50,50,Town
64,Off-Road,52,50,50,Town
65,Arctic,52,50,50,Town
66,Trains,52,50,50,Town
67,Classic Town,50, ,50,Town
68,Airport,67,50,50,Town
69,Building,67,50,50,Town
70,Cargo,67,50,50,Town
71,Coast Guard,67,50,50,Town
72,Construction,67,50,50,Town
73,Farm,67,50,50,Town
74,Fire,67,50,50,Town
75,Food & Drink,67,50,50,Town
76,Station,67,50,50,Town
77,Harbor,67,50,50,Town
78,Hospital,67,50,50,Town
79,Off-Road,67,50,50,Town
80,Police,67,50,50,Town
81,Post Office,67,50,50,Town
82,Race,67,50,50,Town
83,Recreation,67,50,50,Town
84,Supplemental,67,50,50,Town
85,Traffic,67,50,50,Town
86,Divers,50, ,50,Town
87,Extreme Team,50, ,50,Town
88,Launch Command,50, ,50,Town
